causa_acidente;tipo_acidente;fase_dia;condicao_metereologica;tipo_veiculo;estado_fisico;count;causa_acidente_criterios;tipo_acidente_criterios;fase_dia_criterios;condicao_metereologica_criterios;tipo_veiculo_criterios
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Animal;Amanhecer;Ceu Claro;Automovel;Ileso;2;4;2;4;1;1
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Animal;Pleno dia;Ceu Claro;Automovel;Ileso;4;4;2;1;1;1
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Animal;Pleno dia;Ceu Claro;Caminhonete;Ileso;1;4;2;1;1;2
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Animal;Pleno dia;Ceu Claro;Nao se aplica;Lesoes Leves;1;4;2;1;1;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Animal;Pleno dia;Ceu Claro;Outros;Lesoes Leves;1;4;2;1;1;5
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Animal;Pleno dia;Ignorado;Nao se aplica;Lesoes Leves;1;4;2;1;0;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Amanhecer;Ceu Claro;Automovel;Ileso;2;4;4;4;1;1
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Amanhecer;Ceu Claro;Nao se aplica;Lesoes Graves;3;4;4;4;1;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Amanhecer;Ceu Claro;Nao se aplica;Obito;1;4;4;4;1;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Amanhecer;Chuva;Caminhonete;Ileso;1;4;4;4;2;2
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Amanhecer;Chuva;Motocicleta;Lesoes Leves;1;4;4;4;2;1
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Amanhecer;Chuva;Nao se aplica;Lesoes Graves;1;4;4;4;2;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Amanhecer;Chuva;Nao se aplica;Obito;1;4;4;4;2;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Amanhecer;Nublado;Automovel;Ileso;1;4;4;4;2;1
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Amanhecer;Nublado;Nao se aplica;Lesoes Graves;1;4;4;4;2;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Anoitecer;Ceu Claro;Automovel;Ileso;2;4;4;4;1;1
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Anoitecer;Ceu Claro;Automovel;Lesoes Graves;1;4;4;4;1;1
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Anoitecer;Ceu Claro;Caminhao;Ileso;1;4;4;4;1;2
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Anoitecer;Ceu Claro;Caminhao-trator;Ileso;1;4;4;4;1;2
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Anoitecer;Ceu Claro;Caminhao-trator;Lesoes Graves;1;4;4;4;1;2
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Anoitecer;Ceu Claro;Motocicleta;Lesoes Leves;2;4;4;4;1;1
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Anoitecer;Ceu Claro;Nao se aplica;Lesoes Graves;1;4;4;4;1;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Anoitecer;Ceu Claro;Nao se aplica;Lesoes Leves;3;4;4;4;1;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Anoitecer;Chuva;Automovel;Ileso;2;4;4;4;2;1
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Anoitecer;Chuva;Nao se aplica;Lesoes Leves;3;4;4;4;2;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Anoitecer;Nublado;Automovel;Ileso;2;4;4;4;2;1
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Anoitecer;Nublado;Caminhonete;Ileso;1;4;4;4;2;2
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Anoitecer;Nublado;Nao se aplica;Lesoes Graves;3;4;4;4;2;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Plena Noite;Ceu Claro;Automovel;Ileso;9;4;4;2;1;1
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Plena Noite;Ceu Claro;Automovel;Lesoes Leves;1;4;4;2;1;1
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Plena Noite;Ceu Claro;Bicicleta;Obito;1;4;4;2;1;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Plena Noite;Ceu Claro;Caminhao;Ileso;1;4;4;2;1;2
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Plena Noite;Ceu Claro;Caminhao-trator;Ileso;2;4;4;2;1;2
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Plena Noite;Ceu Claro;Caminhao-trator;Lesoes Leves;1;4;4;2;1;2
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Plena Noite;Ceu Claro;Caminhonete;Ileso;1;4;4;2;1;2
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Plena Noite;Ceu Claro;Motocicleta;Lesoes Graves;1;4;4;2;1;1
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Plena Noite;Ceu Claro;Motocicleta;Lesoes Leves;2;4;4;2;1;1
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Plena Noite;Ceu Claro;Motoneta;Ileso;1;4;4;2;1;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Plena Noite;Ceu Claro;Motoneta;Lesoes Graves;1;4;4;2;1;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Plena Noite;Ceu Claro;Nao se aplica;Lesoes Graves;12;4;4;2;1;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Plena Noite;Ceu Claro;Nao se aplica;Lesoes Leves;8;4;4;2;1;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Plena Noite;Ceu Claro;Nao se aplica;Obito;3;4;4;2;1;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Plena Noite;Ceu Claro;Onibus;Ileso;1;4;4;2;1;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Plena Noite;Ceu Claro;Utilitario;Ileso;2;4;4;2;1;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Plena Noite;Chuva;Nao se aplica;Lesoes Graves;1;4;4;2;2;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Plena Noite;Chuva;Nao se aplica;Obito;2;4;4;2;2;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Plena Noite;Garoa/Chuvisco;Automovel;Ileso;4;4;4;2;3;1
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Plena Noite;Garoa/Chuvisco;Bicicleta;Obito;1;4;4;2;3;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Plena Noite;Garoa/Chuvisco;Caminhao;Ileso;2;4;4;2;3;2
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Plena Noite;Garoa/Chuvisco;Nao se aplica;Lesoes Graves;1;4;4;2;3;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Plena Noite;Nublado;Automovel;Ileso;1;4;4;2;2;1
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Plena Noite;Nublado;Bicicleta;Lesoes Leves;1;4;4;2;2;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Plena Noite;Nublado;Bicicleta;Obito;1;4;4;2;2;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Plena Noite;Nublado;Caminhao;Ileso;3;4;4;2;2;2
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Plena Noite;Nublado;Caminhao-trator;Ileso;1;4;4;2;2;2
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Plena Noite;Nublado;Caminhonete;Ileso;2;4;4;2;2;2
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Plena Noite;Nublado;Caminhonete;Lesoes Leves;3;4;4;2;2;2
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Plena Noite;Nublado;Nao se aplica;Lesoes Graves;1;4;4;2;2;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Plena Noite;Nublado;Nao se aplica;Lesoes Leves;2;4;4;2;2;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Plena Noite;Nublado;Nao se aplica;Obito;6;4;4;2;2;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Plena Noite;Nublado;Onibus;Ileso;25;4;4;2;2;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Plena Noite;Vento;Automovel;Ileso;1;4;4;2;5;1
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Plena Noite;Vento;Nao se aplica;Lesoes Graves;1;4;4;2;5;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Pleno dia;Ceu Claro;Automovel;Ileso;7;4;4;1;1;1
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Pleno dia;Ceu Claro;Bicicleta;Lesoes Graves;1;4;4;1;1;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Pleno dia;Ceu Claro;Bicicleta;Obito;1;4;4;1;1;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Pleno dia;Ceu Claro;Caminhao;Ileso;1;4;4;1;1;2
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Pleno dia;Ceu Claro;Caminhao;Lesoes Graves;1;4;4;1;1;2
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Pleno dia;Ceu Claro;Caminhao-trator;Ileso;7;4;4;1;1;2
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Pleno dia;Ceu Claro;Caminhonete;Ileso;5;4;4;1;1;2
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Pleno dia;Ceu Claro;Caminhonete;Lesoes Leves;1;4;4;1;1;2
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Pleno dia;Ceu Claro;Motocicleta;Ileso;2;4;4;1;1;1
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Pleno dia;Ceu Claro;Motocicleta;Lesoes Graves;1;4;4;1;1;1
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Pleno dia;Ceu Claro;Motocicleta;Lesoes Leves;4;4;4;1;1;1
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Pleno dia;Ceu Claro;Nao Informado;Ileso;1;4;4;1;1;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Pleno dia;Ceu Claro;Nao se aplica;Ileso;1;4;4;1;1;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Pleno dia;Ceu Claro;Nao se aplica;Lesoes Graves;8;4;4;1;1;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Pleno dia;Ceu Claro;Nao se aplica;Lesoes Leves;10;4;4;1;1;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Pleno dia;Ceu Claro;Nao se aplica;Obito;3;4;4;1;1;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Pleno dia;Chuva;Caminhao-trator;Ileso;1;4;4;1;2;2
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Pleno dia;Chuva;Nao se aplica;Lesoes Graves;1;4;4;1;2;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Pleno dia;Nevoeiro/Neblina;Automovel;Ileso;1;4;4;1;4;1
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Pleno dia;Nevoeiro/Neblina;Nao se aplica;Lesoes Graves;1;4;4;1;4;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Pleno dia;Nublado;Caminhao;Ileso;1;4;4;1;2;2
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Pleno dia;Nublado;Motocicleta;Ileso;1;4;4;1;2;1
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Pleno dia;Nublado;Motocicleta;Lesoes Graves;1;4;4;1;2;1
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Pleno dia;Nublado;Motocicleta;Lesoes Leves;3;4;4;1;2;1
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Pleno dia;Nublado;Motoneta;Lesoes Leves;1;4;4;1;2;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Pleno dia;Nublado;Nao se aplica;Lesoes Graves;2;4;4;1;2;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Pleno dia;Nublado;Nao se aplica;Lesoes Leves;2;4;4;1;2;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Pleno dia;Sol;Bicicleta;Lesoes Leves;1;4;4;1;3;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Pleno dia;Sol;Caminhonete;Ileso;2;4;4;1;3;2
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Pleno dia;Sol;Motoneta;Ileso;1;4;4;1;3;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Pleno dia;Sol;Nao Informado;Ileso;1;4;4;1;3;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Pleno dia;Sol;Nao se aplica;Lesoes Graves;1;4;4;1;3;3
Acessar a via sem observar a presenca dos outros veiculos;Atropelamento de Pedestre;Pleno dia;Sol;Nao se aplica;Lesoes Leves;2;4;4;1;3;3
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Amanhecer;Ceu Claro;Automovel;Lesoes Leves;2;4;5;4;1;1
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Amanhecer;Ceu Claro;Caminhao-trator;Ileso;1;4;5;4;1;2
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Anoitecer;Ceu Claro;Automovel;Ileso;2;4;5;4;1;1
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Anoitecer;Ceu Claro;Automovel;Lesoes Graves;1;4;5;4;1;1
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Anoitecer;Ceu Claro;Automovel;Lesoes Leves;4;4;5;4;1;1
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Anoitecer;Ceu Claro;Caminhonete;Ileso;1;4;5;4;1;2
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Anoitecer;Nublado;Automovel;Ileso;7;4;5;4;2;1
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Anoitecer;Nublado;Automovel;Lesoes Leves;1;4;5;4;2;1
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Anoitecer;Nublado;Caminhao-trator;Ileso;1;4;5;4;2;2
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Plena Noite;Ceu Claro;Automovel;Ileso;8;4;5;2;1;1
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Plena Noite;Ceu Claro;Automovel;Lesoes Graves;5;4;5;2;1;1
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Plena Noite;Ceu Claro;Automovel;Lesoes Leves;9;4;5;2;1;1
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Plena Noite;Ceu Claro;Caminhao;Lesoes Graves;1;4;5;2;1;2
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Plena Noite;Ceu Claro;Caminhao;Lesoes Leves;1;4;5;2;1;2
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Plena Noite;Ceu Claro;Caminhao-trator;Ileso;1;4;5;2;1;2
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Plena Noite;Ceu Claro;Caminhonete;Ileso;7;4;5;2;1;2
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Plena Noite;Ceu Claro;Caminhonete;Obito;4;4;5;2;1;2
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Plena Noite;Chuva;Automovel;Lesoes Graves;3;4;5;2;2;1
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Plena Noite;Chuva;Automovel;Lesoes Leves;1;4;5;2;2;1
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Plena Noite;Chuva;Caminhao-trator;Ileso;1;4;5;2;2;2
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Plena Noite;Chuva;Caminhao-trator;Lesoes Leves;1;4;5;2;2;2
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Plena Noite;Nublado;Automovel;Ileso;7;4;5;2;2;1
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Plena Noite;Nublado;Automovel;Lesoes Leves;6;4;5;2;2;1
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Pleno dia;Ceu Claro;Automovel;Ileso;24;4;5;1;1;1
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Pleno dia;Ceu Claro;Automovel;Lesoes Graves;6;4;5;1;1;1
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Pleno dia;Ceu Claro;Automovel;Lesoes Leves;28;4;5;1;1;1
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Pleno dia;Ceu Claro;Automovel;Obito;1;4;5;1;1;1
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Pleno dia;Ceu Claro;Bicicleta;Lesoes Leves;1;4;5;1;1;3
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Pleno dia;Ceu Claro;Bicicleta;Obito;1;4;5;1;1;3
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Pleno dia;Ceu Claro;Caminhao;Ileso;2;4;5;1;1;2
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Pleno dia;Ceu Claro;Caminhao-trator;Ileso;3;4;5;1;1;2
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Pleno dia;Ceu Claro;Caminhonete;Ileso;8;4;5;1;1;2
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Pleno dia;Ceu Claro;Caminhonete;Lesoes Graves;1;4;5;1;1;2
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Pleno dia;Ceu Claro;Caminhonete;Lesoes Leves;3;4;5;1;1;2
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Pleno dia;Ceu Claro;Motocicleta;Lesoes Graves;1;4;5;1;1;1
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Pleno dia;Ceu Claro;Motocicleta;Lesoes Leves;2;4;5;1;1;1
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Pleno dia;Ceu Claro;Nao Informado;Ileso;1;4;5;1;1;3
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Pleno dia;Ceu Claro;Nao Informado;Lesoes Leves;1;4;5;1;1;3
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Pleno dia;Ceu Claro;Utilitario;Ileso;3;4;5;1;1;3
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Pleno dia;Chuva;Automovel;Ileso;2;4;5;1;2;1
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Pleno dia;Chuva;Automovel;Lesoes Leves;7;4;5;1;2;1
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Pleno dia;Chuva;Caminhao-trator;Ileso;1;4;5;1;2;2
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Pleno dia;Chuva;Caminhonete;Lesoes Leves;1;4;5;1;2;2
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Pleno dia;Garoa/Chuvisco;Automovel;Ileso;1;4;5;1;3;1
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Pleno dia;Garoa/Chuvisco;Automovel;Lesoes Leves;1;4;5;1;3;1
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Pleno dia;Garoa/Chuvisco;Caminhao-trator;Ileso;1;4;5;1;3;2
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Pleno dia;Nublado;Automovel;Ileso;4;4;5;1;2;1
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Pleno dia;Nublado;Automovel;Lesoes Graves;2;4;5;1;2;1
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Pleno dia;Nublado;Automovel;Lesoes Leves;8;4;5;1;2;1
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Pleno dia;Nublado;Bicicleta;Obito;2;4;5;1;2;3
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Pleno dia;Nublado;Caminhao;Ileso;1;4;5;1;2;2
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Pleno dia;Nublado;Caminhao-trator;Ileso;2;4;5;1;2;2
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Pleno dia;Nublado;Motocicleta;Obito;1;4;5;1;2;1
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Pleno dia;Sol;Automovel;Lesoes Graves;1;4;5;1;3;1
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Pleno dia;Sol;Automovel;Lesoes Leves;4;4;5;1;3;1
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Pleno dia;Sol;Caminhao-trator;Ileso;1;4;5;1;3;2
Acessar a via sem observar a presenca dos outros veiculos;Capotamento;Pleno dia;Sol;Caminhonete;Lesoes Leves;2;4;5;1;3;2
Acessar a via sem observar a presenca dos outros veiculos;Colisao com objeto;Anoitecer;Ceu Claro;Automovel;Lesoes Graves;1;4;5;4;1;1
Acessar a via sem observar a presenca dos outros veiculos;Colisao com objeto;Anoitecer;Ceu Claro;Automovel;Lesoes Leves;1;4;5;4;1;1
Acessar a via sem observar a presenca dos outros veiculos;Colisao com objeto;Plena Noite;Ceu Claro;Automovel;Ileso;13;4;5;2;1;1
Acessar a via sem observar a presenca dos outros veiculos;Colisao com objeto;Plena Noite;Ceu Claro;Automovel;Lesoes Graves;6;4;5;2;1;1
Acessar a via sem observar a presenca dos outros veiculos;Colisao com objeto;Plena Noite;Ceu Claro;Automovel;Lesoes Leves;11;4;5;2;1;1
Acessar a via sem observar a presenca dos outros veiculos;Colisao com objeto;Plena Noite;Ceu Claro;Automovel;Obito;2;4;5;2;1;1
Acessar a via sem observar a presenca dos outros veiculos;Colisao com objeto;Plena Noite;Ceu Claro;Bicicleta;Ileso;1;4;5;2;1;3
Acessar a via sem observar a presenca dos outros veiculos;Colisao com objeto;Plena Noite;Ceu Claro;Bicicleta;Lesoes Graves;1;4;5;2;1;3
Acessar a via sem observar a presenca dos outros veiculos;Colisao com objeto;Plena Noite;Ceu Claro;Caminhao;Ileso;1;4;5;2;1;2
Acessar a via sem observar a presenca dos outros veiculos;Colisao com objeto;Plena Noite;Ceu Claro;Caminhao-trator;Ileso;3;4;5;2;1;2
Acessar a via sem observar a presenca dos outros veiculos;Colisao com objeto;Plena Noite;Ceu Claro;Caminhao-trator;Lesoes Leves;2;4;5;2;1;2
Acessar a via sem observar a presenca dos outros veiculos;Colisao com objeto;Plena Noite;Ceu Claro;Caminhonete;Ileso;10;4;5;2;1;2
Acessar a via sem observar a presenca dos outros veiculos;Colisao com objeto;Plena Noite;Ceu Claro;Motocicleta;Lesoes Leves;2;4;5;2;1;1
Acessar a via sem observar a presenca dos outros veiculos;Colisao com objeto;Plena Noite;Ceu Claro;Nao se aplica;Obito;2;4;5;2;1;3
Acessar a via sem observar a presenca dos outros veiculos;Colisao com objeto;Plena Noite;Garoa/Chuvisco;Automovel;Ileso;1;4;5;2;3;1
Acessar a via sem observar a presenca dos outros veiculos;Colisao com objeto;Plena Noite;Garoa/Chuvisco;Automovel;Lesoes Leves;1;4;5;2;3;1
Acessar a via sem observar a presenca dos outros veiculos;Colisao com objeto;Plena Noite;Ignorado;Caminhonete;Ileso;1;4;5;2;0;2
Acessar a via sem observar a presenca dos outros veiculos;Colisao com objeto;Plena Noite;Ignorado;Motoneta;Lesoes Leves;1;4;5;2;0;3
Acessar a via sem observar a presenca dos outros veiculos;Colisao com objeto;Plena Noite;Nublado;Automovel;Ileso;8;4;5;2;2;1
Acessar a via sem observar a presenca dos outros veiculos;Colisao com objeto;Plena Noite;Nublado;Automovel;Lesoes Graves;3;4;5;2;2;1
Acessar a via sem observar a presenca dos outros veiculos;Colisao com objeto;Plena Noite;Nublado;Automovel;Lesoes Leves;4;4;5;2;2;1
Acessar a via sem observar a presenca dos outros veiculos;Colisao com objeto;Plena Noite;Nublado;Caminhao-trator;Ileso;2;4;5;2;2;2
Acessar a via sem observar a presenca dos outros veiculos;Colisao com objeto;Plena Noite;Nublado;Caminhonete;Lesoes Leves;3;4;5;2;2;2
Acessar a via sem observar a presenca dos outros veiculos;Colisao com objeto;Pleno dia;Ceu Claro;Automovel;Ileso;30;4;5;1;1;1
Acessar a via sem observar a presenca dos outros veiculos;Colisao com objeto;Pleno dia;Ceu Claro;Automovel;Lesoes Leves;12;4;5;1;1;1
Acessar a via sem observar a presenca dos outros veiculos;Colisao com objeto;Pleno dia;Ceu Claro;Caminhao;Ileso;4;4;5;1;1;2
Acessar a via sem observar a presenca dos outros veiculos;Colisao com objeto;Pleno dia;Ceu Claro;Caminhao;Lesoes Graves;2;4;5;1;1;2
Acessar a via sem observar a presenca dos outros veiculos;Colisao com objeto;Pleno dia;Ceu Claro;Caminhao;Lesoes Leves;2;4;5;1;1;2
Acessar a via sem observar a presenca dos outros veiculos;Colisao com objeto;Pleno dia;Ceu Claro;Caminhao-trator;Ileso;2;4;5;1;1;2
Acessar a via sem observar a presenca dos outros veiculos;Colisao com objeto;Pleno dia;Ceu Claro;Caminhonete;Ileso;3;4;5;1;1;2
Acessar a via sem observar a presenca dos outros veiculos;Colisao com objeto;Pleno dia;Ceu Claro;Caminhonete;Lesoes Leves;1;4;5;1;1;2
Acessar a via sem observar a presenca dos outros veiculos;Colisao com objeto;Pleno dia;Ceu Claro;Motocicleta;Lesoes Leves;4;4;5;1;1;1
Acessar a via sem observar a presenca dos outros veiculos;Colisao com objeto;Pleno dia;Ceu Claro;Motoneta;Lesoes Leves;1;4;5;1;1;3
Acessar a via sem observar a presenca dos outros veiculos;Colisao com objeto;Pleno dia;Ceu Claro;Nao Informado;Ileso;2;4;5;1;1;3
Acessar a via sem observar a presenca dos outros veiculos;Colisao com objeto;Pleno dia;Ceu Claro;Nao Informado;Lesoes Graves;1;4;5;1;1;3
Acessar a via sem observar a presenca dos outros veiculos;Colisao com objeto;Pleno dia;Ceu Claro;Nao Informado;Lesoes Leves;1;4;5;1;1;3
Acessar a via sem observar a presenca dos outros veiculos;Colisao com objeto;Pleno dia;Ceu Claro;Nao Informado;Obito;1;4;5;1;1;3
Acessar a via sem observar a presenca dos outros veiculos;Colisao com objeto;Pleno dia;Ceu Claro;Utilitario;Ileso;4;4;5;1;1;3
