causa_acidente;tipo_acidente;fase_dia;condicao_metereologica;tipo_veiculo;estado_fisico;count
Condutor deixou de manter distancia do veiculo da frente;Colisao com objeto;Pleno dia;Sol;Automovel;Lesoes Graves;2
Condutor deixou de manter distancia do veiculo da frente;Colisao com objeto;Pleno dia;Sol;Caminhao;Ileso;1
Condutor deixou de manter distancia do veiculo da frente;Colisao com objeto;Pleno dia;Sol;Caminhao;Lesoes Leves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao com objeto;Pleno dia;Sol;Caminhao-trator;Ileso;1
Condutor deixou de manter distancia do veiculo da frente;Colisao com objeto;Pleno dia;Sol;Caminhao-trator;Lesoes Graves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao com objeto;Pleno dia;Sol;Caminhonete;Ileso;1
Condutor deixou de manter distancia do veiculo da frente;Colisao com objeto;Pleno dia;Sol;Motocicleta;Lesoes Graves;4
Condutor deixou de manter distancia do veiculo da frente;Colisao com objeto;Pleno dia;Sol;Motocicleta;Lesoes Leves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Amanhecer;Nevoeiro/Neblina;Automovel;Lesoes Graves;2
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Amanhecer;Nevoeiro/Neblina;Caminhao-trator;Ileso;1
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Amanhecer;Nevoeiro/Neblina;Motocicleta;Lesoes Graves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Anoitecer;Ceu Claro;Automovel;Ileso;2
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Anoitecer;Ceu Claro;Automovel;Lesoes Leves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Anoitecer;Ceu Claro;Caminhao;Ileso;3
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Anoitecer;Ceu Claro;Caminhao;Lesoes Leves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Anoitecer;Ceu Claro;Caminhao-trator;Ileso;2
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Anoitecer;Ceu Claro;Caminhonete;Ileso;1
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Anoitecer;Ceu Claro;Motocicleta;Lesoes Graves;2
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Anoitecer;Ceu Claro;Motocicleta;Lesoes Leves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Anoitecer;Ceu Claro;Motoneta;Lesoes Graves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Anoitecer;Ceu Claro;Motoneta;Lesoes Leves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Plena Noite;Ceu Claro;Automovel;Ileso;3
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Plena Noite;Ceu Claro;Automovel;Lesoes Leves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Plena Noite;Ceu Claro;Caminhao;Ileso;1
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Plena Noite;Ceu Claro;Motocicleta;Lesoes Graves;3
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Plena Noite;Chuva;Automovel;Ileso;2
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Plena Noite;Chuva;Automovel;Lesoes Graves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Plena Noite;Chuva;Bicicleta;Lesoes Graves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Plena Noite;Chuva;Caminhao;Ileso;1
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Plena Noite;Garoa/Chuvisco;Automovel;Ileso;1
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Plena Noite;Garoa/Chuvisco;Caminhonete;Ileso;1
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Plena Noite;Garoa/Chuvisco;Nao Informado;Ileso;1
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Plena Noite;Nublado;Automovel;Ileso;1
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Plena Noite;Nublado;Automovel;Lesoes Leves;2
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Pleno dia;Ceu Claro;Automovel;Ileso;7
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Pleno dia;Ceu Claro;Automovel;Lesoes Graves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Pleno dia;Ceu Claro;Automovel;Lesoes Leves;2
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Pleno dia;Ceu Claro;Automovel;Obito;1
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Pleno dia;Ceu Claro;Caminhao;Ileso;5
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Pleno dia;Ceu Claro;Caminhao;Lesoes Graves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Pleno dia;Ceu Claro;Caminhao;Lesoes Leves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Pleno dia;Ceu Claro;Caminhao-trator;Ileso;1
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Pleno dia;Ceu Claro;Caminhao-trator;Lesoes Graves;2
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Pleno dia;Ceu Claro;Caminhao-trator;Lesoes Leves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Pleno dia;Ceu Claro;Caminhonete;Ileso;2
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Pleno dia;Ceu Claro;Motocicleta;Lesoes Leves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Pleno dia;Ceu Claro;Motocicleta;Obito;1
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Pleno dia;Ceu Claro;Onibus;Ileso;13
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Pleno dia;Ceu Claro;Onibus;Lesoes Graves;5
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Pleno dia;Ceu Claro;Onibus;Lesoes Leves;16
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Pleno dia;Ceu Claro;Onibus;Obito;1
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Pleno dia;Chuva;Automovel;Ileso;2
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Pleno dia;Chuva;Automovel;Lesoes Graves;3
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Pleno dia;Chuva;Automovel;Lesoes Leves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Pleno dia;Chuva;Caminhao;Lesoes Graves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Pleno dia;Chuva;Caminhao;Lesoes Leves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Pleno dia;Chuva;Caminhao-trator;Ileso;2
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Pleno dia;Chuva;Caminhao-trator;Lesoes Graves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Pleno dia;Chuva;Caminhao-trator;Lesoes Leves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Pleno dia;Chuva;Caminhao-trator;Obito;2
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Pleno dia;Nublado;Automovel;Obito;1
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Pleno dia;Nublado;Caminhao;Ileso;2
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Pleno dia;Nublado;Caminhao;Lesoes Graves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Pleno dia;Nublado;Caminhao;Lesoes Leves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Pleno dia;Nublado;Motocicleta;Lesoes Graves;2
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Pleno dia;Nublado;Utilitario;Ileso;1
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Pleno dia;Sol;Automovel;Ileso;3
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Pleno dia;Sol;Automovel;Lesoes Graves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Pleno dia;Sol;Automovel;Lesoes Leves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Pleno dia;Sol;Caminhao;Ileso;1
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Pleno dia;Sol;Caminhao;Lesoes Leves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Pleno dia;Sol;Caminhao-trator;Lesoes Leves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Pleno dia;Sol;Caminhonete;Ileso;2
Condutor deixou de manter distancia do veiculo da frente;Colisao frontal;Pleno dia;Sol;Motocicleta;Lesoes Graves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Amanhecer;Ceu Claro;Motocicleta;Lesoes Graves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Amanhecer;Nublado;Automovel;Ileso;4
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Amanhecer;Nublado;Motocicleta;Lesoes Graves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Amanhecer;Nublado;Motocicleta;Lesoes Leves;2
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Amanhecer;Nublado;Motoneta;Lesoes Leves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Amanhecer;Nublado;Onibus;Ileso;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Anoitecer;Ceu Claro;Automovel;Ileso;18
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Anoitecer;Ceu Claro;Automovel;Lesoes Graves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Anoitecer;Ceu Claro;Automovel;Lesoes Leves;5
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Anoitecer;Ceu Claro;Caminhao;Ileso;2
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Anoitecer;Ceu Claro;Caminhao-trator;Ileso;4
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Anoitecer;Ceu Claro;Caminhonete;Ileso;3
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Anoitecer;Ceu Claro;Motocicleta;Ileso;3
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Anoitecer;Ceu Claro;Motocicleta;Lesoes Graves;6
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Anoitecer;Ceu Claro;Motocicleta;Lesoes Leves;11
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Anoitecer;Ceu Claro;Motoneta;Lesoes Graves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Anoitecer;Ceu Claro;Motoneta;Lesoes Leves;4
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Anoitecer;Ceu Claro;Nao Informado;Ileso;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Anoitecer;Ceu Claro;Onibus;Ileso;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Anoitecer;Ceu Claro;Utilitario;Ileso;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Anoitecer;Chuva;Motocicleta;Lesoes Graves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Anoitecer;Garoa/Chuvisco;Automovel;Ileso;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Anoitecer;Garoa/Chuvisco;Bicicleta;Lesoes Graves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Anoitecer;Garoa/Chuvisco;Caminhao;Ileso;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Anoitecer;Garoa/Chuvisco;Caminhao-trator;Ileso;2
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Anoitecer;Garoa/Chuvisco;Caminhao-trator;Lesoes Leves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Anoitecer;Ignorado;Caminhao;Ileso;2
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Anoitecer;Ignorado;Caminhao;Lesoes Leves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Anoitecer;Ignorado;Caminhao-trator;Ileso;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Anoitecer;Nublado;Automovel;Ileso;5
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Anoitecer;Nublado;Ciclomotor;Lesoes Leves;2
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Anoitecer;Nublado;Motocicleta;Lesoes Graves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Anoitecer;Nublado;Motocicleta;Lesoes Leves;2
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Plena Noite;Ceu Claro;Automovel;Ileso;18
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Plena Noite;Ceu Claro;Automovel;Lesoes Leves;6
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Plena Noite;Ceu Claro;Bicicleta;Lesoes Graves;2
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Plena Noite;Ceu Claro;Bicicleta;Lesoes Leves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Plena Noite;Ceu Claro;Caminhao;Ileso;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Plena Noite;Ceu Claro;Caminhao-trator;Ileso;3
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Plena Noite;Ceu Claro;Caminhao-trator;Lesoes Graves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Plena Noite;Ceu Claro;Caminhao-trator;Lesoes Leves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Plena Noite;Ceu Claro;Caminhao-trator;Obito;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Plena Noite;Ceu Claro;Caminhonete;Ileso;4
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Plena Noite;Ceu Claro;Motocicleta;Ileso;3
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Plena Noite;Ceu Claro;Motocicleta;Lesoes Graves;8
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Plena Noite;Ceu Claro;Motocicleta;Lesoes Leves;25
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Plena Noite;Ceu Claro;Motoneta;Ileso;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Plena Noite;Ceu Claro;Motoneta;Lesoes Leves;3
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Plena Noite;Ceu Claro;Nao Informado;Ileso;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Plena Noite;Ceu Claro;Onibus;Ileso;2
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Plena Noite;Ceu Claro;Utilitario;Ileso;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Plena Noite;Chuva;Automovel;Ileso;3
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Plena Noite;Chuva;Caminhao;Ileso;2
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Plena Noite;Chuva;Caminhao-trator;Ileso;2
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Plena Noite;Chuva;Caminhao-trator;Lesoes Graves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Plena Noite;Chuva;Motocicleta;Lesoes Leves;3
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Plena Noite;Garoa/Chuvisco;Automovel;Ileso;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Plena Noite;Garoa/Chuvisco;Motocicleta;Lesoes Leves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Plena Noite;Ignorado;Caminhao;Ileso;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Plena Noite;Ignorado;Motocicleta;Lesoes Graves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Plena Noite;Ignorado;Motocicleta;Lesoes Leves;2
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Plena Noite;Nublado;Automovel;Ileso;7
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Plena Noite;Nublado;Automovel;Lesoes Leves;2
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Plena Noite;Nublado;Motocicleta;Lesoes Leves;3
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Ceu Claro;Automovel;Ileso;114
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Ceu Claro;Automovel;Lesoes Graves;2
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Ceu Claro;Automovel;Lesoes Leves;30
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Ceu Claro;Automovel;Obito;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Ceu Claro;Bicicleta;Lesoes Graves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Ceu Claro;Bicicleta;Lesoes Leves;4
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Ceu Claro;Caminhao;Ileso;17
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Ceu Claro;Caminhao;Lesoes Leves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Ceu Claro;Caminhao-trator;Ileso;26
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Ceu Claro;Caminhao-trator;Lesoes Graves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Ceu Claro;Caminhonete;Ileso;19
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Ceu Claro;Caminhonete;Lesoes Leves;4
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Ceu Claro;Motocicleta;Ileso;14
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Ceu Claro;Motocicleta;Lesoes Graves;20
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Ceu Claro;Motocicleta;Lesoes Leves;73
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Ceu Claro;Motocicleta;Obito;2
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Ceu Claro;Motoneta;Ileso;2
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Ceu Claro;Motoneta;Lesoes Graves;2
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Ceu Claro;Motoneta;Lesoes Leves;13
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Ceu Claro;Nao Informado;Ileso;13
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Ceu Claro;Nao Informado;Lesoes Leves;5
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Ceu Claro;Nao se aplica;Lesoes Graves;2
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Ceu Claro;Onibus;Ileso;3
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Ceu Claro;Onibus;Lesoes Leves;2
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Ceu Claro;Utilitario;Ileso;5
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Chuva;Automovel;Ileso;3
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Chuva;Automovel;Lesoes Leves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Chuva;Caminhonete;Ileso;7
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Chuva;Motocicleta;Lesoes Leves;3
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Chuva;Nao Informado;Ileso;2
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Chuva;Utilitario;Ileso;3
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Garoa/Chuvisco;Automovel;Ileso;6
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Garoa/Chuvisco;Caminhao;Ileso;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Garoa/Chuvisco;Caminhao-trator;Ileso;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Garoa/Chuvisco;Caminhonete;Ileso;2
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Garoa/Chuvisco;Motocicleta;Ileso;3
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Garoa/Chuvisco;Motocicleta;Lesoes Graves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Garoa/Chuvisco;Motocicleta;Lesoes Leves;3
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Garoa/Chuvisco;Motoneta;Lesoes Graves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Garoa/Chuvisco;Motoneta;Lesoes Leves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Garoa/Chuvisco;Utilitario;Ileso;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Nevoeiro/Neblina;Caminhonete;Ileso;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Nevoeiro/Neblina;Motocicleta;Lesoes Leves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Nublado;Automovel;Ileso;37
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Nublado;Bicicleta;Lesoes Leves;3
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Nublado;Caminhao;Ileso;7
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Nublado;Caminhao;Lesoes Graves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Nublado;Caminhao;Lesoes Leves;2
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Nublado;Caminhao-trator;Ileso;2
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Nublado;Caminhonete;Ileso;7
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Nublado;Caminhonete;Lesoes Leves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Nublado;Micro-onibus;Ileso;2
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Nublado;Motocicleta;Ileso;2
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Nublado;Motocicleta;Lesoes Graves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Nublado;Motocicleta;Lesoes Leves;27
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Nublado;Motoneta;Lesoes Graves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Nublado;Motoneta;Lesoes Leves;4
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Nublado;Nao Informado;Ileso;11
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Nublado;Onibus;Ileso;2
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Nublado;Onibus;Lesoes Leves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Nublado;Utilitario;Ileso;2
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Sol;Automovel;Ileso;13
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Sol;Automovel;Lesoes Leves;4
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Sol;Caminhao;Ileso;2
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Sol;Caminhao-trator;Ileso;2
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Sol;Caminhonete;Ileso;3
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Sol;Motocicleta;Lesoes Leves;7
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Sol;Motoneta;Lesoes Leves;3
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral mesmo sentido;Pleno dia;Sol;Utilitario;Ileso;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral sentido oposto;Amanhecer;Ceu Claro;Automovel;Ileso;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral sentido oposto;Amanhecer;Ceu Claro;Caminhonete;Ileso;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral sentido oposto;Amanhecer;Ceu Claro;Motocicleta;Lesoes Graves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral sentido oposto;Anoitecer;Ceu Claro;Automovel;Ileso;3
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral sentido oposto;Anoitecer;Ceu Claro;Automovel;Lesoes Leves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral sentido oposto;Anoitecer;Ceu Claro;Caminhao-trator;Ileso;2
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral sentido oposto;Anoitecer;Ceu Claro;Motoneta;Lesoes Leves;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral sentido oposto;Anoitecer;Garoa/Chuvisco;Automovel;Ileso;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral sentido oposto;Anoitecer;Garoa/Chuvisco;Caminhao;Ileso;1
Condutor deixou de manter distancia do veiculo da frente;Colisao lateral sentido oposto;Anoitecer;Garoa/Chuvisco;Caminhao-trator;Ileso;2
